ano;tipo_uva;cultivar;quantidade
1987;Outros;Italia;4112
1987;Outros;Rubi (Itália, Itália Ro);0
1988;Tintas;TINTAS;58681
1988;Outros;Alphonse Lavallee;0
1988;Outros;Moscato de Hamburgo;0
1988;Brancas;BRANCAS;0
1988;Outros;Cardinal;0
1988;Outros;Golden Queen;0
1988;Outros;Patrícia;0
1988;Outros;Perlona;0
1988;Outros;Italia;0
1988;Outros;Rubi (Itália, Itália Ro);0
1989;Tintas;TINTAS;441541
1989;Outros;Alphonse Lavallee;0
1989;Outros;Moscato de Hamburgo;0
1989;Brancas;BRANCAS;0
1989;Outros;Cardinal;0
1989;Outros;Golden Queen;0
1989;Outros;Patrícia;0
1989;Outros;Perlona;0
1989;Outros;Italia;0
1989;Outros;Rubi (Itália, Itália Ro);0
1990;Tintas;TINTAS;157262
1990;Outros;Alphonse Lavallee;0
1990;Outros;Moscato de Hamburgo;0
1990;Brancas;BRANCAS;0
1990;Outros;Cardinal;0
1990;Outros;Golden Queen;0
1990;Outros;Patrícia;0
1990;Outros;Perlona;0
1990;Outros;Italia;0
1990;Outros;Rubi (Itália, Itália Ro);0
1991;Tintas;TINTAS;104326
1991;Outros;Alphonse Lavallee;0
1991;Outros;Moscato de Hamburgo;0
1991;Brancas;BRANCAS;0
1991;Outros;Cardinal;0
1991;Outros;Golden Queen;0
1991;Outros;Patrícia;0
1991;Outros;Perlona;0
1991;Outros;Italia;0
1991;Outros;Rubi (Itália, Itália Ro);0
1992;Tintas;TINTAS;94021
1992;Outros;Alphonse Lavallee;0
1992;Outros;Moscato de Hamburgo;0
1992;Brancas;BRANCAS;0
1992;Outros;Cardinal;0
1992;Outros;Golden Queen;0
1992;Outros;Patrícia;0
1992;Outros;Perlona;0
1992;Outros;Italia;0
1992;Outros;Rubi (Itália, Itália Ro);0
1993;Tintas;TINTAS;0
1993;Outros;Alphonse Lavallee;0
1993;Outros;Moscato de Hamburgo;0
1993;Brancas;BRANCAS;0
1993;Outros;Cardinal;0
1993;Outros;Golden Queen;0
1993;Outros;Patrícia;0
1993;Outros;Perlona;0
1993;Outros;Italia;0
1993;Outros;Rubi (Itália, Itália Ro);0
1994;Tintas;TINTAS;3852587
1994;Outros;Alphonse Lavallee;0
1994;Outros;Moscato de Hamburgo;0
1994;Brancas;BRANCAS;0
1994;Outros;Cardinal;0
1994;Outros;Golden Queen;0
1994;Outros;Patrícia;0
1994;Outros;Perlona;0
1994;Outros;Italia;0
1994;Outros;Rubi (Itália, Itália Ro);0
1995;Tintas;TINTAS;80197
1995;Outros;Alphonse Lavallee;0
1995;Outros;Moscato de Hamburgo;0
1995;Brancas;BRANCAS;0
1995;Outros;Cardinal;0
1995;Outros;Golden Queen;0
1995;Outros;Patrícia;0
1995;Outros;Perlona;0
1995;Outros;Italia;0
1995;Outros;Rubi (Itália, Itália Ro);0
1996;Tintas;TINTAS;1389173
1996;Outros;Alphonse Lavallee;0
1996;Outros;Moscato de Hamburgo;0
1996;Brancas;BRANCAS;0
1996;Outros;Cardinal;0
1996;Outros;Golden Queen;0
1996;Outros;Patrícia;0
1996;Outros;Perlona;0
1996;Outros;Italia;0
1996;Outros;Rubi (Itália, Itália Ro);0
1997;Tintas;TINTAS;374934
1997;Outros;Alphonse Lavallee;0
1997;Outros;Moscato de Hamburgo;0
1997;Brancas;BRANCAS;0
1997;Outros;Cardinal;0
1997;Outros;Golden Queen;0
1997;Outros;Patrícia;0
1997;Outros;Perlona;0
1997;Outros;Italia;0
1997;Outros;Rubi (Itália, Itália Ro);0
1998;Tintas;TINTAS;21638
1998;Outros;Alphonse Lavallee;0
1998;Outros;Moscato de Hamburgo;0
1998;Brancas;BRANCAS;0
1998;Outros;Cardinal;0
1998;Outros;Golden Queen;0
1998;Outros;Patrícia;0
1998;Outros;Perlona;0
1998;Outros;Italia;0
1998;Outros;Rubi (Itália, Itália Ro);0
1999;Tintas;TINTAS;480
1999;Outros;Alphonse Lavallee;0
1999;Outros;Moscato de Hamburgo;0
1999;Brancas;BRANCAS;0
1999;Outros;Cardinal;0
1999;Outros;Golden Queen;0
1999;Outros;Patrícia;0
1999;Outros;Perlona;0
1999;Outros;Italia;0
1999;Outros;Rubi (Itália, Itália Ro);0
2000;Tintas;TINTAS;13877
2000;Outros;Alphonse Lavallee;0
2000;Outros;Moscato de Hamburgo;13877
2000;Brancas;BRANCAS;602113
2000;Outros;Cardinal;0
2000;Outros;Golden Queen;0
2000;Outros;Patrícia;20515
2000;Outros;Perlona;581598
