ano;tipo_uva;cultivar;quantidade
1970;Outros;Sem classificação;3675463
1971;Outros;Sem classificação;665425
1972;Outros;Sem classificação;197232
1973;Outros;Sem classificação;491357
1974;Outros;Sem classificação;57307
1975;Outros;Sem classificação;540146
1976;Outros;Sem classificação;24440
1977;Outros;Sem classificação;9743
1978;Outros;Sem classificação;85475
1979;Outros;Sem classificação;2317099
1980;Outros;Sem classificação;306970
1981;Outros;Sem classificação;494703
1982;Outros;Sem classificação;1719913
1983;Outros;Sem classificação;21742
1984;Outros;Sem classificação;99929
1985;Outros;Sem classificação;104929
1986;Outros;Sem classificação;12689
1987;Outros;Sem classificação;99743
1988;Outros;Sem classificação;0
1989;Outros;Sem classificação;0
1990;Outros;Sem classificação;0
1991;Outros;Sem classificação;0
1992;Outros;Sem classificação;0
1993;Outros;Sem classificação;0
1994;Outros;Sem classificação;0
1995;Outros;Sem classificação;0
1996;Outros;Sem classificação;0
1997;Outros;Sem classificação;0
1998;Outros;Sem classificação;0
1999;Outros;Sem classificação;0
2000;Outros;Sem classificação;152517
2001;Outros;Sem classificação;0
2002;Outros;Sem classificação;0
2003;Outros;Sem classificação;0
2004;Outros;Sem classificação;0
2005;Outros;Sem classificação;0
2006;Outros;Sem classificação;0
2007;Outros;Sem classificação;0
2008;Outros;Sem classificação;0
2009;Outros;Sem classificação;0
2010;Outros;Sem classificação;0
2011;Outros;Sem classificação;0
2012;Outros;Sem classificação;0
2013;Outros;Sem classificação;0
2014;Outros;Sem classificação;0
2015;Outros;Sem classificação;0
2016;Outros;Sem classificação;0
2017;Outros;Sem classificação;0
2018;Outros;Sem classificação;0
2019;Outros;Sem classificação;nd
2020;Outros;Sem classificação;166947
2021;Outros;Sem classificação;0
2022;Outros;Sem classificação;*
2023;Outros;Sem classificação;0
