id;pais;ano;quantidade_kg;valor_us
1;Argélia;1970;0;0
1;Argélia;1971;0;0
1;Argélia;1972;0;0
1;Argélia;1973;0;0
1;Argélia;1974;0;0
1;Argélia;1975;0;0
1;Argélia;1976;0;0
1;Argélia;1977;0;0
1;Argélia;1978;0;0
1;Argélia;1979;0;0
1;Argélia;1980;0;0
1;Argélia;1981;0;0
1;Argélia;1982;0;0
1;Argélia;1983;0;0
1;Argélia;1984;0;0
1;Argélia;1985;0;0
1;Argélia;1986;0;0
1;Argélia;1987;0;0
1;Argélia;1988;0;0
1;Argélia;1989;0;0
1;Argélia;1990;0;0
1;Argélia;1991;0;0
1;Argélia;1992;0;0
1;Argélia;1993;0;0
1;Argélia;1994;0;0
1;Argélia;1995;0;0
1;Argélia;1996;0;0
1;Argélia;1997;0;0
1;Argélia;1998;0;0
1;Argélia;1999;0;0
1;Argélia;2000;0;0
1;Argélia;2001;0;0
1;Argélia;2002;0;0
1;Argélia;2003;0;0
1;Argélia;2004;0;0
1;Argélia;2005;0;0
1;Argélia;2006;0;0
1;Argélia;2007;0;0
1;Argélia;2008;0;0
1;Argélia;2009;0;0
1;Argélia;2010;0;0
1;Argélia;2011;0;0
1;Argélia;2012;0;0
1;Argélia;2013;0;0
1;Argélia;2014;0;0
1;Argélia;2015;0;0
1;Argélia;2016;0;0
1;Argélia;2017;0;0
1;Argélia;2018;0;0
1;Argélia;2019;0;0
1;Argélia;2020;21746;34476
1;Argélia;2021;0;0
1;Argélia;2022;0;0
1;Argélia;2023;0;0
2;Argentina;1970;2412831;782408
2;Argentina;1971;1805310;684328
2;Argentina;1972;1965010;779841
2;Argentina;1973;396840;253061
2;Argentina;1974;1179250;591328
2;Argentina;1975;527100;313210
2;Argentina;1976;1219700;651150
2;Argentina;1977;1974174;1065046
2;Argentina;1978;1998590;1256166
2;Argentina;1979;490090;419189
2;Argentina;1980;276000;253558
2;Argentina;1981;241000;270013
2;Argentina;1982;1004840;767208
2;Argentina;1983;1394060;864456
2;Argentina;1984;251900;146965
2;Argentina;1985;208150;125910
2;Argentina;1986;267240;189890
2;Argentina;1987;773500;587095
2;Argentina;1988;2861962;2115752
2;Argentina;1989;5466862;4014451
2;Argentina;1990;6901560;4832246
2;Argentina;1991;4050739;3127738
2;Argentina;1992;1836310;1550210
2;Argentina;1993;972100;900700
2;Argentina;1994;1477530;1323381
2;Argentina;1995;4102859;3689808
2;Argentina;1996;4952178;4456961
2;Argentina;1997;3570021;3385638
2;Argentina;1998;2400369;2322697
2;Argentina;1999;1616655;1432080
2;Argentina;2000;740793;755810
2;Argentina;2001;1228557;1004140
2;Argentina;2002;4140804;2003875
