ano;tipo_uva;cultivar;quantidade
1970;Tintas;TINTAS;284285642
1970;Outros;Bacarina;82899
1970;Outros;Bailey;0
1970;Outros;Bordo;7242197
1970;Outros;Bourdin (S);0
1970;Outros;BRS Carmen;0
1970;Outros;BRS Cora;0
1970;Outros;BRS Magna;0
1970;Outros;BRS Margot;0
1970;Outros;BRS Morena;0
1970;Outros;BRS Núbia;0
1970;Outros;BRS Rúbea;0
1970;Outros;BRS Violeta;0
1970;Outros;BRS Vitória;0
1970;Outros;Champagnon (Champanheta);0
1970;Outros;Coleções;0
1970;Outros;Concord;5407624
1970;Outros;Concord clone 30;0
1970;Outros;Couderc;2713692
1970;Outros;Cynthiana(1);568653
1970;Outros;Herbemont;62053013
1970;Outros;IAC 138022;0
1970;Outros;Isabel;193840398
1970;Outros;Isabel Precoce;0
1970;Outros;Jacquez;390593
1970;Outros;Kyoko;0
1970;Outros;Landot;134384
1970;Outros;Mistura de uvas americanas tinto;0
1970;Outros;Oberlin;15682
1970;Outros;Othello;33013
1970;Outros;Paco;0
1970;Outros;Patricia;0
1970;Outros;Seibel;11803494
1970;Outros;Seibel 2 (seibeleto);0
1970;Outros;Seyve Willard (Tinta);0
1970;Outros;Vênus;0
1970;Brancas;BRANCAS E ROSADAS;985007
1970;Outros;Baco;4647
1970;Outros;Bokay;0
1970;Outros;BRS Bibiana;0
1970;Outros;BRS Clara;0
1970;Outros;BRS Lorena;0
1970;Outros;Couderc 13;0
1970;Outros;Delaware;22705
1970;Outros;Dona Zillá;0
1970;Outros;Dut Chess;0
1970;Outros;Goethe;311458
1970;Outros;IAC;0
1970;Outros;Juliana;0
1970;Outros;Martha;15045
1970;Outros;Mistura de uvas americanas;0
1970;Outros;Moscato Embrapa;0
1970;Outros;Niagara;631152
1970;Outros;Niagara Branca;0
1970;Outros;Niagara Rosada;0
1970;Outros;Poloske;0
1970;Outros;Seleções;0
1970;Outros;Seyve Villard;0
1970;Outros;Seyve Villard 5276;0
1970;Outros;Seyve Villard 12375;0
1970;Outros;Tardia de Caxias;0
1970;Outros;Outras(2);0
1971;Tintas;TINTAS;193695427
1971;Outros;Bacarina;106962
1971;Outros;Bailey;0
1971;Outros;Bordo;7227090
1971;Outros;Bourdin (S);0
1971;Outros;BRS Carmen;0
1971;Outros;BRS Cora;0
1971;Outros;BRS Magna;0
1971;Outros;BRS Margot;0
1971;Outros;BRS Morena;0
1971;Outros;BRS Núbia;0
1971;Outros;BRS Rúbea;0
1971;Outros;BRS Violeta;0
1971;Outros;BRS Vitória;0
1971;Outros;Champagnon (Champanheta);0
1971;Outros;Coleções;0
1971;Outros;Concord;3726469
1971;Outros;Concord clone 30;0
1971;Outros;Couderc;2835642
1971;Outros;Cynthiana(1);419550
1971;Outros;Herbemont;43864620
1971;Outros;IAC 138022;0
1971;Outros;Isabel;126754464
1971;Outros;Isabel Precoce;0
1971;Outros;Jacquez;203081
1971;Outros;Kyoko;0
1971;Outros;Landot;106917
1971;Outros;Mistura de uvas americanas tinto;0
1971;Outros;Oberlin;34722
1971;Outros;Othello;106190
1971;Outros;Paco;0
1971;Outros;Patricia;0
1971;Outros;Seibel;8309720
1971;Outros;Seibel 2 (seibeleto);0
1971;Outros;Seyve Willard (Tinta);0
1971;Outros;Vênus;0
1971;Brancas;BRANCAS E ROSADAS;557294
1971;Outros;Baco;5873
1971;Outros;Bokay;0
1971;Outros;BRS Bibiana;0
1971;Outros;BRS Clara;0
1971;Outros;BRS Lorena;0
1971;Outros;Couderc 13;0
1971;Outros;Delaware;22883
1971;Outros;Dona Zillá;0
1971;Outros;Dut Chess;0
1971;Outros;Goethe;267549
1971;Outros;IAC;0
1971;Outros;Juliana;0
1971;Outros;Martha;21972
