ano;tipo_uva;cultivar;quantidade
1970;Tintas;TINTAS;10448228
1970;Outros;Alicante Bouschet;0
1970;Outros;Ancelota;0
1970;Outros;Aramon;0
1970;Outros;Alfrocheiro;0
1970;Outros;Arinarnoa;0
1970;Outros;Aspirant Bouschet;0
1970;Outros;Barbera;4548313
1970;Outros;Bonarda;1631610
1970;Outros;Cabernet Franc;238837
1970;Outros;Cabernet Sauvignon;0
1970;Outros;Caladoc;0
1970;Outros;Campanario;0
1970;Outros;Canaiolo;596766
1970;Outros;Carignan;0
1970;Outros;Carmenere;1235
1970;Outros;Castelão;0
1970;Outros;Corvina;0
1970;Outros;Croatina;0
1970;Outros;Cinsaut;0
1970;Outros;Dom Felder;0
1970;Outros;Dolcetto;0
1970;Outros;Durif;0
1970;Outros;Egiodola;0
1970;Outros;Ekigaina;0
1970;Outros;Festival (Sugraone);0
1970;Outros;Franconia;0
1970;Outros;Freisa;1661
1970;Outros;Gamay St Romain;0
1970;Outros;Gamay Beaujolais;0
1970;Outros;Grand Noir;0
1970;Outros;Grenache;19753
1970;Outros;Jaen;0
1970;Outros;Lagrein;0
1970;Outros;Lambrusco;2259
1970;Outros;Malbec;4097
1970;Outros;Marzemina;62546
1970;Outros;Merlot;185596
1970;Outros;Marselan;0
1970;Outros;Mistura de uvas viníferas tinto;0
1970;Outros;Molinera;0
1970;Outros;Montepulciano;0
1970;Outros;Moscato Bailey;0
1970;Outros;Napa Gamay;0
1970;Outros;Nebbiolo;0
1970;Outros;Petit Verdot;0
1970;Outros;Petite Sirah;0
1970;Outros;Pinotage;0
1970;Outros;Pinot Noir;0
1970;Outros;Pinot Saint George;0
1970;Outros;Piriquita;0
1970;Outros;Primitivo;0
1970;Outros;Rebo;0
1970;Outros;Refosco;0
1970;Outros;Rondinella;0
1970;Outros;Ruby Cabernet;0
1970;Outros;Sangiovese;27566
1970;Outros;Saperavi;0
1970;Outros;Sira (falsa);3127989
1970;Outros;Tannat;0
1970;Outros;Tempranillo;0
1970;Outros;Teroldego;0
1970;Outros;Torrontes;0
1970;Outros;Tinta Barroca;0
1970;Outros;Tinta Roriz;0
1970;Outros;Touriga Francesa;0
1970;Outros;Touriga Nacional;0
1970;Outros;Tinta Madeira;0
1970;Outros;Tintoria;0
1970;Outros;Trincdeira;0
1970;Outros;Trousseau;0
1970;Outros;Zinfandel;0
1970;Outros;Outras1;0
1970;Brancas;BRANCAS E ROSADAS;18858541
1970;Outros;Aliatico;0
1970;Outros;Aligote;530
1970;Outros;Altesse;0
1970;Outros;Alvarinho;0
1970;Outros;Arriloba;0
1970;Outros;Auxerrois;0
1970;Outros;Burger;0
1970;Outros;Chardonnay;0
1970;Outros;Chasselas;0
1970;Outros;Chenin Blanc;0
1970;Outros;Clairette(1);146617
1970;Outros;Colombard;0
1970;Outros;Flora;0
1970;Outros;Garganega;0
1970;Outros;Gewurztraminer;0
1970;Outros;Gouveio;0
1970;Outros;Gros Manseng;0
1970;Outros;Italia (Pirovano 65) (PE);0
1970;Outros;Maccabeo;0
1970;Outros;Malvasia;878012
1970;Outros;Malvasia Amarela;0
1970;Outros;Malvasia Bianca;0
1970;Outros;Malvasia Chianti;0
1970;Outros;Malvasia Verde;0
1970;Outros;Malvasia di Candia;0
1970;Outros;Malvasia Istriana;0
1970;Outros;Mistura de uvas viníferas branco;0
1970;Outros;Mistura de uvas viníferas rosado;0
1970;Outros;Moscato Branco;5772931
1970;Outros;Moscato Canelli;0
1970;Outros;Moscato Giallo;0
1970;Outros;Moscato Nazareno;0
1970;Outros;Moscato Bianco R2;0
1970;Outros;Moscato de Alexandria;0
1970;Outros;Moscato Rosado;0
1970;Outros;Muscat à Petits Grains;0
1970;Outros;Muller Thurgau;0
1970;Outros;Muscadelle;0
1970;Outros;Ora;0
1970;Outros;Palomino;0
1970;Outros;Petit Manseng;0
1970;Outros;Peverella;2084128
1970;Outros;Pinot Blanc;4000
1970;Outros;Pinot Gris;0
1970;Outros;Prosecco;0
1970;Outros;Red Veltliner;0
1970;Outros;Riesling Italico;413149
1970;Outros;Riesling Renano;0
1970;Outros;Sauvignon Blanc(2);2819
1970;Outros;Sauvignon Gris;0
1970;Outros;Seara Nova;0
1970;Outros;Semillon;1916
1970;Outros;Schonburger;0
1970;Outros;Sylvaner;0
1970;Outros;Tocai Friulano;0
1970;Outros;Trebbiano;7277270
1970;Outros;Trebbiano Toscano;0
1970;Outros;Verdea;0
1970;Outros;Verdelho;0
1970;Outros;Verdiso;7950
1970;Outros;Vermentino;20461
1970;Outros;Vernaccia;122467
1970;Outros;Viogner;0
1970;Outros;Viognier;0
1970;Outros;Outras(3);2126291
1971;Tintas;TINTAS;11012833
1971;Outros;Alicante Bouschet;0
1971;Outros;Ancelota;0
1971;Outros;Aramon;0
1971;Outros;Alfrocheiro;0
1971;Outros;Arinarnoa;0
1971;Outros;Aspirant Bouschet;0
1971;Outros;Barbera;3971627
1971;Outros;Bonarda;1868929
